"Hospital.Name","Provider.ID","ED_1b","ED_2b","EDV","IMM_2","IMM_3_OP_27_FAC_ADHPCT","OP_1","OP_18b","OP_2","OP_20","OP_21","OP_22","OP_23","OP_29","OP_30","OP_31","OP_33","OP_3b","OP_4","OP_5","PC_01","VTE_6"
"ARKANSAS CHILDREN'S HOSPITAL",43300,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ARKANSAS HEART HOSPITAL, LLC",40134,"203","52","Low (0 - 19,999 patients annually)","84","69","Not Available","188","Not Available","18","83","2","Not Available","100","100","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ARKANSAS METHODIST MEDICAL CENTER",40039,"230","64","Medium (20,000 - 39,999 patients annually)","93","98","Not Available","119","Not Available","25","61","3","68","8","89","Not Available","Not Available","47","95","8","3","Not Available"
"ARKANSAS SURGICAL HOSPITAL",40147,"Not Available","Not Available","Low (0 - 19,999 patients annually)","99","67","Not Available","138","Not Available","30","Not Available","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ARNOT OGDEN MEDICAL CENTER",330090,"373","200","High (40,000 - 59,999 patients annually)","92","91","Not Available","190","Not Available","37","68","2","Not Available","Not Available","Not Available","Not Available","33","Not Available","Not Available","Not Available","3","8"
"AROOSTOOK MEDICAL CENTER",200018,"246","98","Low (0 - 19,999 patients annually)","95","77","Not Available","128","Not Available","26","52","1","Not Available","100","98","Not Available","100","Not Available","100","9","0","Not Available"
"ARROWHEAD REGIONAL MEDICAL CENTER",50245,"450","222","Very High (60,000+ patients annually)","97","89","Not Available","209","Not Available","37","72","3","100","100","100","Not Available","0","Not Available","Not Available","Not Available","1","0"
"ARTESIA GENERAL HOSPITAL",320030,"258","76","Low (0 - 19,999 patients annually)","83","76","Not Available","125","Not Available","30","50","6","Not Available","2","58","Not Available","Not Available","Not Available","77","4","Not Available","Not Available"
"ASANTE ASHLAND COMMUNITY HOSPITAL",380005,"217","112","Low (0 - 19,999 patients annually)","99","72","Not Available","121","Not Available","17","26","1","Not Available","49","100","Not Available","Not Available","Not Available","97","10","0","Not Available"
"ASANTE ROGUE REGIONAL MEDICAL CENTER",380018,"225","111","High (40,000 - 59,999 patients annually)","99","69","Not Available","168","Not Available","11","36","1","72","90","96","Not Available","79","Not Available","Not Available","Not Available","4","0"
"ASANTE THREE RIVERS MEDICAL CENTER",380002,"232","133","High (40,000 - 59,999 patients annually)","100","74","Not Available","170","Not Available","33","69","4","70","85","100","Not Available","63","45","99","10","0","Not Available"
"ASCENSION CRITTENTON HOSPITAL",230254,"251","92","Medium (20,000 - 39,999 patients annually)","98","73","Not Available","162","Not Available","3","48","0","Not Available","68","57","Not Available","Not Available","Not Available","Not Available","Not Available","0","0"
"ASHE MEMORIAL HOSPITAL",341325,"228","49","Not Available","68","Not Available","33","147","42","30","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","99","14","Not Available","Not Available"
"ASHLAND HEALTH CENTER",171304,"Not Available","Not Available","Not Available","100","53","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ASHLEY COUNTY MEDICAL CENTER",41323,"Not Available","Not Available","Low (0 - 19,999 patients annually)","75","84","Not Available","96","Not Available","24","48","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","92","8","Not Available","Not Available"
"ASHLEY MEDICAL CENTER",351322,"Not Available","Not Available","Not Available","Not Available","50","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ASHLEY REGIONAL MEDICAL CENTER",460030,"177","46","Low (0 - 19,999 patients annually)","98","99","Not Available","96","Not Available","5","20","1","Not Available","75","77","Not Available","Not Available","Not Available","98","1","4","Not Available"
"ASHTABULA COUNTY MEDICAL CENTER",360125,"227","69","Medium (20,000 - 39,999 patients annually)","99","96","Not Available","104","Not Available","17","46","0","Not Available","72","98","Not Available","Not Available","64","98","4","0","Not Available"
"ASOCIACION HOSPITAL DEL MAESTRO, INC",400004,"376","170","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ASPEN MOUNTAIN MEDICAL CENTER",530035,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ASPEN VALLEY HOSPITAL",61324,"Not Available","Not Available","Not Available","94","97","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ASPIRE BEHAVIORAL HEALTH OF CONROE, LLC",670093,"Not Available","Not Available","Not Available","Not Available","32","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ASPIRUS IRON RIVER HOSPITAL & CLINICS, INC",231318,"Not Available","Not Available","Low (0 - 19,999 patients annually)","Not Available","89","Not Available","104","Not Available","14","31","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","99","7","Not Available","Not Available"
"ASPIRUS IRONWOOD HOSPITAL",231333,"Not Available","Not Available","Not Available","Not Available","97","Not Available","102","Not Available","20","46","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","97","6","Not Available","Not Available"
"ASPIRUS KEWEENAW HOSPITAL",231319,"213","59","Low (0 - 19,999 patients annually)","96","99","Not Available","96","Not Available","19","47","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","97","10","Not Available","Not Available"
"ASPIRUS LANGLADE HOSPITAL",521350,"Not Available","Not Available","Low (0 - 19,999 patients annually)","99","94","Not Available","127","Not Available","17","36","1","83","Not Available","Not Available","Not Available","Not Available","Not Available","94","5","Not Available","Not Available"
"ASPIRUS MEDFORD HOSPITAL & CLINICS, INC",521324,"Not Available","Not Available","Low (0 - 19,999 patients annually)","99","96","Not Available","Not Available","Not Available","Not Available","Not Available","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","95","6","Not Available","Not Available"
"ASPIRUS ONTONAGON HOSPITAL, INC",231309,"187","32","Low (0 - 19,999 patients annually)","96","95","Not Available","98","Not Available","16","52","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100","2","Not Available","Not Available"
"ASPIRUS RIVERVIEW HOSPITAL & CLINICS INC",520033,"214","45","Medium (20,000 - 39,999 patients annually)","96","92","Not Available","130","Not Available","13","53","1","89","64","92","Not Available","Not Available","Not Available","99","7","2","Not Available"
"ASPIRUS WAUSAU HOSPITAL",520030,"184","66","Medium (20,000 - 39,999 patients annually)","99","96","Not Available","132","Not Available","13","25","1","Not Available","72","98","Not Available","83","Not Available","Not Available","Not Available","2","0"
"ASSUMPTION COMMUNITY HOSPITAL",191303,"176","31","Not Available","57","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ATCHISON HOSPITAL",171382,"Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ATHENS LIMESTONE HOSPITAL",10079,"234","66","Medium (20,000 - 39,999 patients annually)","98","89","Not Available","128","Not Available","27","72","3","Not Available","95","100","Not Available","Not Available","Not Available","96","5","1","Not Available"
"ATHOL MEMORIAL HOSPITAL",221303,"278","74","Low (0 - 19,999 patients annually)","83","96","Not Available","144","Not Available","27","56","2","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","100","5","Not Available","Not Available"
"ATLANTIC GENERAL HOSPITAL",210061,"224","78","Medium (20,000 - 39,999 patients annually)","96","99","Not Available","100","Not Available","21","52","1","Not Available","99","83","Not Available","Not Available","Not Available","98","Not Available","Not Available","Not Available"
"ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS",310064,"324","139","Very High (60,000+ patients annually)","95","78","Not Available","133","Not Available","24","53","2","Not Available","67","57","Not Available","Not Available","Not Available","Not Available","Not Available","2","0"
"ATMORE COMMUNITY HOSPITAL",10169,"191","38","Low (0 - 19,999 patients annually)","99","87","Not Available","108","Not Available","28","56","3","Not Available","83","100","Not Available","Not Available","Not Available","92","5","Not Available","Not Available"
